"","player_api_id","overall_rate","gk_rate","player_name","appear","league"
"6574",150275,65,54,"Nelson Pedroso",56,1
"6575",150279,64,135,"Chumbinho",4,1
"6576",150292,74,105,"Tomas Pekhart",59,1
"6577",150296,75,134,"Sebastian Dubarbier",65,2
"6578",150297,78,59,"Lacina Traore",14,1
"6579",150299,71,116,"Joao Real",113,1
"6580",150313,72,135,"Fabio Faria",32,1
"6581",150316,76,121,"Michel",72,1
"6582",150318,59,116,"Reguila",10,1
"6583",150320,65,81,"David Caiado",8,2
"6584",150322,72,129,"Lionn",114,1
"6585",150323,81,119,"Ander Iturraspe",133,1
"6586",150327,67,46,"Juanan",13,1
"6587",150328,69,101,"Piscu",19,2
"6588",150330,81,117,"Jose Maria Callejon",195,2
"6589",150388,73,135,"Federico Casarini",41,1
"6590",150389,66,59,"Massimo Coda",9,1
"6591",150393,72,138,"Andrea Catellani",4,1
"6592",150395,71,114,"Diego Farias",23,1
"6593",150396,78,99,"Alex",15,1
"6594",150401,75,114,"Libor Kozak",27,2
"6595",150407,74,121,"Guido Marilungo",27,1
"6596",150410,74,80,"Gianluca Sansone",21,1
"6597",150435,64,118,"Andrea Mei",9,1
"6598",150464,69,339,"Andrea Seculin",3,1
"6599",150466,78,129,"Davide Santon",130,2
"6600",150468,64,113,"Ettore Mendicino",1,1
"6601",150480,76,125,"Lora",121,1
"6602",150491,69,140,"Pablo",6,1
"6603",150498,71,141,"Dimas Delgado",18,1
"6604",150509,76,57,"Eran Zahavi",11,1
"6605",150510,65,124,"Samuel Yeboah",5,1
"6606",150517,67,136,"Javan Vidal",9,1
"6607",150518,62,140,"Tom Taiwo",41,1
"6608",150565,84,115,"Pierre-Emerick Aubameyang",181,2
"6609",150573,68,143,"Oscar Sielva",2,1
"6610",150574,73,148,"Jesus Rueda",59,1
"6611",150589,65,59,"Bart Vriends",63,1
"6612",150590,67,61,"Gevero Markiet",43,1
"6613",150591,69,109,"Liam Cooper",1,1
"6614",150596,72,122,"Craig Noone",13,1
"6615",150613,69,113,"Nile Ranger",1,1
"6616",150632,74,123,"Jordi Feliu Xumetra",35,1
