"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"34","RT @jenannrodrigues: #WIN a $250 Gift Card to @ThatsJared for your #ValentinesDay shopping! #jewelry #giveaway #ad https://t.co/a8F7aNU8l4",FALSE,0,NA,2017-02-16 03:49:44,FALSE,NA,"832074458668158976",NA,"<a href=""https://twitter.com/_Gym_Freak_"" rel=""nofollow"">gift6bh</a>","_Gym_Freak_",2,TRUE,FALSE,NA,NA
"35","RT @popwrecked: Happy Day After #ValentinesDay From #PopwreckedApproved @AbiRatchford https://t.co/BZSR4U43St",FALSE,0,NA,2017-02-16 03:49:44,FALSE,NA,"832074458164719616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Grilo354",2004,TRUE,FALSE,NA,NA
"36","RT @popwrecked: Happy Day After #ValentinesDay From #PopwreckedApproved @AbiRatchford https://t.co/BZSR4U43St",FALSE,0,NA,2017-02-16 03:49:44,FALSE,NA,"832074456826679296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bartolucci2339",2004,TRUE,FALSE,NA,NA
"37","RT @leslieolguin65: Writing letters with conversation <U+2764>s! @504bayou  #valentinesday #scelearns https://t.co/yLigKoi3Ev",FALSE,0,NA,2017-02-16 03:49:43,FALSE,NA,"832074454205394944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StewCreekPTA",2,TRUE,FALSE,NA,NA
"38","RT @THR: Box Office: '@FiftyShades Darker' is a #ValentinesDay dominatrix with $11M https://t.co/7ZYdpnT8BH #FiftyShadesDarker https://t.co…",FALSE,0,NA,2017-02-16 03:49:42,FALSE,NA,"832074449717325824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kurea_surano",76,TRUE,FALSE,NA,NA
"39","RT @AHANewYorkCity: Happy Valentine's Day! Fun and healthy valentine's ideas for your loved ones! #ValentinesDay https://t.co/FgycBX7A00",FALSE,0,NA,2017-02-16 03:49:39,FALSE,NA,"832074436958355456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThSmileProject",5,TRUE,FALSE,NA,NA
"40","RT @LanaParrilla: Will you be my Valentine? <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+008B> Happy #ValentinesDay !!! https://t.co/Caqgpw0mSl",FALSE,0,NA,2017-02-16 03:49:38,FALSE,NA,"832074433955250176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","princessmys",2267,TRUE,FALSE,NA,NA
"41","RT @4JosephSmithJr: Getting started early for valentine's day! #apostake #mormon #JosephSmith #ValentinesDay https://t.co/22wik9Qio8",FALSE,0,NA,2017-02-16 03:49:37,FALSE,NA,"832074427160367104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","NeillColton",11,TRUE,FALSE,NA,NA
"42","RT @popwrecked: Happy Day After #ValentinesDay From #PopwreckedApproved @AbiRatchford https://t.co/BZSR4U43St",FALSE,0,NA,2017-02-16 03:49:35,FALSE,NA,"832074417618366466",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OdessaMalkin",2004,TRUE,FALSE,NA,NA
"43","RT @popwrecked: The official #ValentinesDay photo of @KendallKarsonXo is so hot, we should extend the holiday to two days. #PopwreckedAppro…",FALSE,0,NA,2017-02-16 03:49:34,FALSE,NA,"832074416515215360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VernayAndrea",559,TRUE,FALSE,NA,NA
"44","RT @popwrecked: Happy Day After #ValentinesDay From #PopwreckedApproved @AbiRatchford https://t.co/BZSR4U43St",FALSE,0,NA,2017-02-16 03:49:34,FALSE,NA,"832074415223472129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yarne_gigi",2004,TRUE,FALSE,NA,NA
"45","RT @popwrecked: Happy Day After #ValentinesDay From #PopwreckedApproved @AbiRatchford https://t.co/BZSR4U43St",FALSE,0,NA,2017-02-16 03:49:34,FALSE,NA,"832074413914910720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SkigenBritta",2004,TRUE,FALSE,NA,NA
"46","RT @popwrecked: Happy Day After #ValentinesDay From #PopwreckedApproved @AbiRatchford https://t.co/BZSR4U43St",FALSE,0,NA,2017-02-16 03:49:27,FALSE,NA,"832074384256880640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","julianna_reeder",2004,TRUE,FALSE,NA,NA
"47","RT @LouisT91Updates: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B2> | Louis at the @radiodisney studios, wishing a happy #ValentinesDay to all ! <U+2764><U+FE0F>

Feb 13, 2017 • ©https://t.co/Cv87WT…",FALSE,0,NA,2017-02-16 03:49:24,FALSE,NA,"832074372370231296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kmmaz13",1108,TRUE,FALSE,NA,NA
"48","RT @LouisT91Updates: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B2> | Louis at the @radiodisney studios, wishing a happy #ValentinesDay to all ! <U+2764><U+FE0F>

Feb 13, 2017 • ©https://t.co/Cv87WT…",FALSE,0,NA,2017-02-16 03:49:24,FALSE,NA,"832074371913154560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","larryismylife28",1108,TRUE,FALSE,NA,NA
"49","RT @popwrecked: The official #ValentinesDay photo of @KendallKarsonXo is so hot, we should extend the holiday to two days. #PopwreckedAppro…",FALSE,0,NA,2017-02-16 03:49:22,FALSE,NA,"832074363780243456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","charleenackari1",559,TRUE,FALSE,NA,NA
"50","RT @SUNY_Orange: Happy #ValentinesDay! Don't get your heart broken over something you've worked hard for! (Like, say a magnificent beard) h…",FALSE,0,NA,2017-02-16 03:49:17,FALSE,NA,"832074343278575616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaomiDaven",1,TRUE,FALSE,NA,NA
"51","RT @popwrecked: The official #ValentinesDay photo of @KendallKarsonXo is so hot, we should extend the holiday to two days. #PopwreckedAppro…",FALSE,0,NA,2017-02-16 03:49:16,FALSE,NA,"832074341604941824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeparcoBette",559,TRUE,FALSE,NA,NA
"52","RT @popwrecked: The official #ValentinesDay photo of @KendallKarsonXo is so hot, we should extend the holiday to two days. #PopwreckedAppro…",FALSE,0,NA,2017-02-16 03:49:15,FALSE,NA,"832074334395068416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VenettiJeanna",559,TRUE,FALSE,NA,NA
"53","RT @cavs: This #ValentinesDay video was worth the wait … our squad will always love you. <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https://t.co/QUDTvpHuCY",FALSE,0,NA,2017-02-16 03:49:14,FALSE,NA,"832074333392601088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nikaeda",595,TRUE,FALSE,NA,NA
"54","RT @ShumDarioNews: #IG | ""Part 1. Recap of a #ValentinesDay on the #Shadowhunters set. @matthewdaddario (...)"" (via @JadeHassoune) https://…",FALSE,0,NA,2017-02-16 03:49:14,FALSE,NA,"832074332771725312",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","yiahxenrush",36,TRUE,FALSE,NA,NA
"55","RT @popwrecked: The official #ValentinesDay photo of @KendallKarsonXo is so hot, we should extend the holiday to two days. #PopwreckedAppro…",FALSE,0,NA,2017-02-16 03:49:13,FALSE,NA,"832074325956005888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MillonBrooke",559,TRUE,FALSE,NA,NA
"56","RT @hellokitty: Who's ready for a super sweet time? Happy #ValentinesDay! https://t.co/7TfXLlBSXV",FALSE,0,NA,2017-02-16 03:49:12,FALSE,NA,"832074322906738688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BMaRiaN_16",264,TRUE,FALSE,NA,NA
"57","#bobbybrown #neweditionstory #newedition #avant  #acapella #keithsweat  #valentinesday #makeababy #fullset... https://t.co/dEURgWd3Kc",FALSE,0,NA,2017-02-16 03:49:11,FALSE,NA,"832074317731098624",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","thedijitaldj",0,FALSE,FALSE,NA,NA
"58","RT @popwrecked: Happy Day After #ValentinesDay From #PopwreckedApproved @AbiRatchford https://t.co/BZSR4U43St",FALSE,0,NA,2017-02-16 03:49:06,FALSE,NA,"832074297829122049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hillary_goertz",2004,TRUE,FALSE,NA,NA
"59","RT @cavs: This #ValentinesDay video was worth the wait … our squad will always love you. <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https://t.co/QUDTvpHuCY",FALSE,0,NA,2017-02-16 03:49:05,FALSE,NA,"832074293274087424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fatman1618",595,TRUE,FALSE,NA,NA
"60","RT @ArchieComics: Happy #ValentinesDay from #Riverdale's @CamilaMendes &amp; @lilireinhart! https://t.co/JUVlRkfAxd",FALSE,0,NA,2017-02-16 03:49:04,FALSE,NA,"832074289641697281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sapphiclane",1074,TRUE,FALSE,NA,NA
"61","RT @MakaiClothingCo: It's a #ValentinesDay edition  #TurtleTuesday Giveaway for 2 Sangria Vintage Prints ending at midnight! <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B0><U+00A2>

Must rt…",FALSE,0,NA,2017-02-16 03:49:04,FALSE,NA,"832074288496832513",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Erin511Smith",656,TRUE,FALSE,NA,NA
"62","RT @MyLifeWellLoved: 5 Ways to Love Your Community on #ValentinesDay https://t.co/BjkvgughvO https://t.co/buFk2DJCL6",FALSE,0,NA,2017-02-16 03:49:03,FALSE,NA,"832074285376237569",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AbbieFit",48,TRUE,FALSE,NA,NA
"63","#Vday #Valentinesday #Look #Outfit #OOTD #Thighhigh #Boots #Heels #Pink #Dress #Makeup #Curls https://t.co/hJ5ALuI9Mw",FALSE,0,NA,2017-02-16 03:49:02,FALSE,NA,"832074283102982144",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheRealMDares",0,FALSE,FALSE,NA,NA
"64","#ValentinesDay",FALSE,0,NA,2017-02-16 03:49:01,FALSE,NA,"832074276287180800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Arival_M",0,FALSE,FALSE,NA,NA
"65","The sweet is never as sweet until you've tasted sour. #love #thankful #blessed #valentinesday",FALSE,0,NA,2017-02-16 03:49:00,FALSE,NA,"832074274039091203",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AprilsReality",0,FALSE,FALSE,NA,NA
"66","Shout out to the man who spoils me like a queen. <ed><U+00A0><U+00BD><ed><U+00B2><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+0091> #gifts #valentinesday #daylate #boyfriend #spoiled https://t.co/xiFs7QK28O",FALSE,0,NA,2017-02-16 03:49:00,FALSE,NA,"832074271279026176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farrow_natalie",0,FALSE,FALSE,NA,NA
"67","RT @MariahTrends: PIC: @MariahCarey celebrating #ValentinesDay last night. <ed><U+00A0><U+00BC><ed><U+00BD><U+00AB>#CandyBra https://t.co/svFBPvaqtm",FALSE,0,NA,2017-02-16 03:48:59,FALSE,NA,"832074267894349824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mavrilcarey",35,TRUE,FALSE,NA,NA
"68","RT @popwrecked: The official #ValentinesDay photo of @KendallKarsonXo is so hot, we should extend the holiday to two days. #PopwreckedAppro…",FALSE,0,NA,2017-02-16 03:48:59,FALSE,NA,"832074267726540802",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jonell_baird",559,TRUE,FALSE,NA,NA
"69","RT @WomensHumor: Too real. #ValentinesDay https://t.co/BNZK2xJxvs",FALSE,0,NA,2017-02-16 03:48:55,FALSE,NA,"832074252916387840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","xfashionforever",79,TRUE,FALSE,NA,NA
"70","RT @eanhorn: TONIGHT at @nursebettienyc !! 10pm / 106 Norfolk st. / NO COVER! Will you be my anti-Valentine? #valentinesday #burlesque #LES…",FALSE,0,NA,2017-02-16 03:48:54,FALSE,NA,"832074247392620544",NA,"<a href=""https://www.burlesqueballer.com"" rel=""nofollow"">Merc410Gs</a>","Johny10k",2,TRUE,FALSE,NA,NA
"71","RT @jkeondra: @paapadoc_ you are:

Heavenly
Empathetic
Affectionate
Determined
Ambitious
Sociable
Sincere

I love you. #valentinesday https…",FALSE,0,NA,2017-02-16 03:48:45,FALSE,NA,"832074210767937536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sha_Killa12",4,TRUE,FALSE,NA,NA
