"","lon","lat"
"554",NA,NA
"555",NA,NA
"556",-92.1004852,46.7866719
"557",NA,NA
"558",-85.3070138,35.0622085
"559",NA,NA
"560",-81.4845585,41.1339449
"561",NA,NA
"562",NA,NA
"563",NA,NA
"564",-73.9485424,40.744679
"565",-95.3698028,29.7604267
"566",NA,NA
"567",NA,NA
"568",NA,NA
"569",139.7035494,35.6938401
"570",-79.0192997,35.7595731
"571",-78.183406,-1.831239
"572",-117.1817377,46.7297771
"573",-120.7401386,47.7510741
"574",NA,NA
"575",NA,NA
"576",NA,NA
"577",NA,NA
"578",NA,NA
"579",-77.6490005,37.5061069
"580",NA,NA
"581",-87.6297982,41.8781136
"582",NA,NA
"583",NA,NA
"584",NA,NA
"585",-51.92528,-14.235004
"586",-99.549573,27.4779362
"587",NA,NA
"588",-119.4179324,36.778261
"589",NA,NA
"590",NA,NA
"591",NA,NA
"592",3.3792057,6.5243793
"593",-74.1502007,40.5795317
"594",NA,NA
"595",NA,NA
"596",-98.9848677,19.8392372
"597",-95.712891,37.09024
"598",-110.926479,32.2217429
"599",2.770103,50.658189
"600",-81.2081203,28.669997
"601",NA,NA
"602",-102.4107493,34.2331373
"603",NA,NA
"604",-77.0772403,38.8456051
"605",NA,NA
"606",37.906193,-0.023559
"607",-86.902298,32.3182314
"608",-79.9958864,40.4406248
"609",-106.346771,56.130366
"610",-102.552784,23.634501
"611",NA,NA
"612",-74.0059413,40.7127837
"613",-116.419389,38.8026097
"614",NA,NA
"615",-97.330053,37.6871761
"616",NA,NA
"617",NA,NA
"618",NA,NA
"619",-97.092877,35.0077519
"620",-77.0368707,38.9071923
"621",139.6917064,35.6894875
"622",-80.1917902,25.7616798
"623",-79.9958864,40.4406248
"624",-93.1292353,16.7569318
"625",NA,NA
"626",-93.2650108,44.977753
"627",-78.183406,-1.831239
"628",NA,NA
"629",-38.4161591,-12.928791
"630",122.1396745,10.5887998
"631",NA,NA
"632",NA,NA
"633",-102.552784,23.634501
"634",NA,NA
"635",-83.3677168,42.4989936
"636",NA,NA
"637",NA,NA
"638",NA,NA
"639",-123.486364,43.487633
"640",-106.346771,56.130366
"641",-118.1937395,33.7700504
"642",-83.6129939,42.2411499
"643",-82.1888089,36.595141
"644",NA,NA
"645",-71.542969,-35.675147
"646",NA,NA
"647",-118.3286614,34.0928092
"648",-83.7430378,42.2808256
"649",-81.0348144,34.0007104
"650",NA,NA
"651",-122.2975124,47.8458036
"652",-98.2300124,26.2034071
"653",-74.0059413,40.7127837
"654",-7.6920536,53.1423672
"655",NA,NA
"656",75.9637413,29.0971845
"657",-87.6297982,41.8781136
"658",-78.8783689,42.8864468
"659",-96.7969879,32.7766642
"660",-106.346771,56.130366
"661",NA,NA
"662",-38.5266704,-3.7318616
"663",NA,NA
"664",NA,NA
"665",-113.4909267,53.544389
"666",-111.163777,55.65883
"667",-92.1193012,32.5093109
"668",-76.5319854,3.4516467
"669",-80.1373174,26.1224386
"670",NA,NA
"671",NA,NA
"672",NA,NA
"673",-86.8113733,33.2811215
"674",NA,NA
"675",34.508523,-8.783195
"676",72.8310607,21.1702401
"677",-119.4179324,36.778261
"678",-76.3557028,39.4290415
"679",-115.1398296,36.1699412
"680",121.1710389,14.9967842
"681",NA,NA
"682",-100.3161126,25.6866142
"683",-99.1801606,19.4130129
"684",NA,NA
"685",NA,NA
"686",NA,NA
"687",NA,NA
"688",NA,NA
"689",NA,NA
